checkpoint,arch,method,seed,domain,n_samples,source_T,raw_accuracy,raw_nll,raw_brier,raw_ece,raw_adaptive_ece,raw_classwise_ece,sourcets_accuracy,sourcets_nll,sourcets_brier,sourcets_ece,sourcets_adaptive_ece,sourcets_classwise_ece,oracle_T,oraclets_accuracy,oraclets_nll,oraclets_brier,oraclets_ece,oraclets_adaptive_ece,oraclets_classwise_ece
resnet10_kd_s0,resnet10,kd,0,cifar10_test,10000,1.4276223182678223,0.9433,0.21355635,0.08937756182333505,0.02921687828004363,0.029168681973218917,0.00664671229925734,0.9433,0.18580407,0.08531499553786197,0.008583629566431016,0.009772720688581463,0.00418588903875323,1.4043940305709839,0.9433,0.18603756,0.08543323108338088,0.01060506788492202,0.010787170416116708,0.004189525931262179
resnet10_kd_s0,resnet10,kd,0,cifar10c_brightness_sev1,10000,1.4276223182678223,0.9421,0.21756376,0.0911920067896115,0.031609243607521105,0.03037945141792296,0.0067713315287511785,0.9421,0.18879329,0.08684611251088109,0.010748200860619575,0.011131291168928152,0.0042953380845685025,1.4099454879760742,0.9421,0.18898751,0.08694304195062086,0.012044056051969551,0.011818163967132568,0.004350902913593454
resnet10_kd_s0,resnet10,kd,0,cifar10c_brightness_sev2,10000,1.4276223182678223,0.9389,0.2310765,0.09599434642648459,0.03211980803906921,0.03174265414476394,0.007168587178507003,0.9389,0.20000732,0.09163840167924459,0.011167614701390242,0.011731209880113603,0.004597239952085074,1.4192105531692505,0.9389,0.20011526,0.0916831236763457,0.01173558327257632,0.012102897012233731,0.0046335689625411755
resnet10_kd_s0,resnet10,kd,0,cifar10c_brightness_sev3,10000,1.4276223182678223,0.9343,0.25327665,0.10521067401687133,0.03441853543818001,0.03334660683870314,0.007722179727207403,0.9343,0.21856922,0.10040272259746728,0.013050898635387387,0.01057035771608352,0.004890612166980281,1.4329137802124023,0.9343,0.2184859,0.10037059001151837,0.012799606192111993,0.01062071270346641,0.004885165754181799
resnet10_kd_s0,resnet10,kd,0,cifar10c_brightness_sev4,10000,1.4276223182678223,0.9255,0.28692457,0.1193370731979037,0.03979698740541932,0.03943716858625412,0.009021134710378829,0.9255,0.24540424,0.11316726482322724,0.015738132673501926,0.015256129515171071,0.006052593186872545,1.4586141109466553,0.9255,0.24474107,0.1129095529413911,0.013582003591954713,0.013484835189580921,0.005916153817675077
resnet10_kd_s0,resnet10,kd,0,cifar10c_brightness_sev5,10000,1.4276223182678223,0.901,0.38643882,0.15806319028772203,0.054225801941752444,0.0541953783750534,0.012580192117855766,0.901,0.32569677,0.14934276817150424,0.02530095768868922,0.02558791314959525,0.009216368426703848,1.5155646800994873,0.901,0.32244536,0.14831369888335,0.01770476489067077,0.019010696011781673,0.009042626491670962
resnet10_kd_s0,resnet10,kd,0,cifar10c_contrast_sev1,10000,1.4276223182678223,0.9359,0.2413251,0.10143456258515053,0.03530157757997511,0.034869568419456494,0.007769882422881786,0.9359,0.20695615,0.09610966510262624,0.01306789109408858,0.014307851350307467,0.005404784715827553,1.4402680397033691,0.9359,0.20675108,0.09601862200495109,0.012123473143577604,0.013526864296197896,0.0053866142464440775
resnet10_kd_s0,resnet10,kd,0,cifar10c_contrast_sev2,10000,1.4276223182678223,0.8913,0.4162222,0.17359981234717783,0.060459328404068965,0.06048405325412752,0.014469690375871142,0.8913,0.3483454,0.1640519193313805,0.03023480227589608,0.030407679253816596,0.011642372927441028,1.550443172454834,0.8913,0.34294662,0.16244274353150423,0.019538433480262754,0.02069929196834565,0.011909675926899071
resnet10_kd_s0,resnet10,kd,0,cifar10c_contrast_sev3,10000,1.4276223182678223,0.8259,0.6650527,0.2745502045634159,0.10421132151782511,0.10421135615110398,0.024481488470968905,0.8259,0.5461076,0.25582772625056305,0.06302437951266768,0.0630243501722813,0.02038746952822199,1.6614407300949097,0.8259,0.5263436,0.24969440130938342,0.035139284425973895,0.035672031033039085,0.02020121314605698
resnet10_kd_s0,resnet10,kd,0,cifar10c_contrast_sev4,10000,1.4276223182678223,0.6741,1.3218699,0.5180423297349394,0.20887444690167903,0.20862449216842652,0.048800111281715804,0.6741,1.0556854,0.4768916890397989,0.14748490097224715,0.14723583720326422,0.041555380018476855,1.8996295928955078,0.6741,0.9640826,0.4484160727745627,0.07067204048931598,0.07158459507524968,0.037108600675426415
